month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs
69,5.75,6,9,1680.9014301170291,109713.15994303903,8000,1110.721078865162,687.4104107340147,164555.18790803236,35444.812091967644,76639.75444169619,51194.94234972917,2e5,0,-0,2e5,510,35190,833.3333333333334,57500,510,35190,1e4
70,5.833333333333333,6,10,1683.6775754893813,111396.83751852842,8000,1110.721078865162,685.6466162834681,164130.11344545064,35869.88655454936,77750.47552056135,51880.58896601264,2e5,0,-0,2e5,510,35700,833.3333333333334,58333.333333333336,510,35700,1e4
71,5.916666666666667,6,11,1686.4583058915216,113083.29582441994,8000,1110.721078865162,683.8754726893776,163703.26783927483,36296.732160725165,78861.1965994265,52564.464438702016,2e5,0,-0,2e5,510,36210,833.3333333333334,59166.66666666667,510,36210,1e4
72,6,6,12,1689.243628896,114772.53945331594,8000,1110.721078865162,682.0969493303118,163274.64370973996,36725.35629026004,79971.91767829168,53246.56138803233,2e5,0,-0,2e5,510,36720,833.3333333333334,6e4,510,36720,1e4
73,6.083333333333333,7,1,1692.0335520878725,116464.57300540381,8000,1110.721078865162,680.3110154572498,162844.23364633205,37155.76635366795,81082.63875715683,53926.87240348958,2e5,0,-0,2e5,510,37230,833.3333333333334,60833.333333333336,510,37230,1e4
74,6.166666666666667,7,2,1694.8280830647225,118159.40108846853,8000,1110.721078865162,678.5176401930502,162412.03020765993,37587.96979234007,82193.35983602199,54605.39004368263,2e5,0,-0,2e5,510,37740,833.3333333333334,61666.66666666667,510,37740,1e4
75,6.25,7,3,1697.6272294366813,119857.02831790522,8000,1110.721078865162,676.7167925319163,161978.02592132668,38021.97407867332,83304.08091488716,55282.106836214545,2e5,0,-0,2e5,510,38250,833.3333333333334,62500,510,38250,1e4
76,6.333333333333333,7,4,1700.4309988264497,121557.45931673166,8000,1110.721078865162,674.9084413388612,161542.21328380037,38457.786716199626,84414.80199375232,55957.01527755341,2e5,0,-0,2e5,510,38760,833.3333333333334,63333.333333333336,510,38760,1e4
77,6.416666666666667,7,5,1703.239398869317,123260.69871560099,8000,1110.721078865162,673.0925553491683,161104.58476028437,38895.41523971563,85525.52307261748,56630.10783290258,2e5,0,-0,2e5,510,39270,833.3333333333334,64166.66666666667,510,39270,1e4
78,6.5,7,6,1706.0524372131833,124966.75115281416,8000,1110.721078865162,671.2691031678515,160665.13278458704,39334.86721541296,86636.24415148265,57301.37693607043,2e5,0,-0,2e5,510,39780,833.3333333333334,65e3,510,39780,1e4
79,6.583333333333333,7,7,1708.8701215185797,126675.62127433275,8000,1110.721078865162,669.4380532691126,160223.84975899098,39776.15024100902,87746.9652303478,57970.81498933954,2e5,0,-0,2e5,510,40290,833.3333333333334,65833.33333333334,510,40290,1e4
80,6.666666666666667,7,8,1711.6924594586899,128387.31373379144,8000,1110.721078865162,667.5993739957958,159780.7280541216,40219.2719458784,88857.68630921296,58638.41436333534,2e5,0,-0,2e5,510,40800,833.3333333333334,66666.66666666667,510,40800,1e4
81,6.75,7,9,1714.5194587193696,130101.8331925108,8000,1110.721078865162,665.75303355884,159335.76000881527,40664.23999118473,89968.40738807814,59304.167396894176,2e5,0,-0,2e5,510,41310,833.3333333333334,67500,510,41310,1e4
82,6.833333333333333,7,10,1717.3511269991686,131819.18431950998,8000,1110.721078865162,663.8990000367303,158888.93792998683,41111.06207001317,91079.1284669433,59968.06639693091,2e5,0,-0,2e5,510,41820,833.3333333333334,68333.33333333334,510,41820,1e4
83,6.916666666666667,7,11,1720.1874720093522,133539.3717915193,8000,1110.721078865162,662.0372413749451,158440.25409249662,41559.745907503384,92189.84954580845,60630.10363830585,2e5,0,-0,2e5,510,42330,833.3333333333334,69166.66666666667,510,42330,1e4
84,7,7,12,1723.02850147392,135262.40029299323,8000,1110.721078865162,660.1677253854026,157989.70073901684,42010.299260983156,93300.57062467362,61290.27136369125,2e5,0,-0,2e5,510,42840,833.3333333333334,7e4,510,42840,1e4
85,7.083333333333333,8,1,1725.8742231296299,136988.27451612288,8000,1110.721078865162,658.2904197459035,157537.27007989757,42462.72992010243,94411.29170353878,61948.56178343716,2e5,0,-0,2e5,510,43350,833.3333333333334,70833.33333333334,510,43350,1e4
86,7.166666666666667,8,2,1728.724644726017,138716.99916084888,8000,1110.721078865162,656.4052919995733,157082.95429303197,42917.04570696803,95522.01278240394,62604.96707543673,2e5,0,-0,2e5,510,43860,833.3333333333334,71666.66666666667,510,43860,1e4
87,7.25,8,3,1731.579774025415,140448.5789348743,8000,1110.721078865162,654.5123095542999,156626.7455237211,43373.254476278904,96632.73386126911,63259.479384991035,2e5,0,-0,2e5,510,44370,833.3333333333334,72500,510,44370,1e4
88,7.333333333333333,8,4,1734.4396188029784,142183.01855367728,8000,1110.721078865162,652.6114396821712,156168.6358845381,43831.36411546191,97743.45494013427,63912.0908246732,2e5,0,-0,2e5,510,44880,833.3333333333334,73333.33333333334,510,44880,1e4
89,7.416666666666667,8,5,1737.3041868467033,143920.322740524,8000,1110.721078865162,650.7026495189087,155708.61745519182,44291.38254480818,98854.17601899942,64562.79347419211,2e5,0,-0,2e5,510,45390,833.3333333333334,74166.66666666667,510,45390,1e4
90,7.5,8,6,1740.1734859574467,145660.49622648142,8000,1110.721078865162,648.7859060632993,155246.68228238996,44753.31771761004,99964.8970978646,65211.57938025541,2e5,0,-0,2e5,510,45900,833.3333333333334,75e3,510,45900,1e4
91,7.583333333333333,8,7,1743.0475239489513,147403.5437504304,8000,1110.721078865162,646.8611761766248,154782.82237970142,45217.17762029858,101075.61817672975,65858.44055643203,2e5,0,-0,2e5,510,46410,833.3333333333334,75833.33333333334,510,46410,1e4
92,7.666666666666667,8,8,1745.9263086478638,149149.47005907824,8000,1110.721078865162,644.9284265820893,154317.02972741832,45682.970272581675,102186.33925559491,66503.36898301412,2e5,0,-0,2e5,510,46920,833.3333333333334,76666.66666666667,510,46920,1e4
93,7.75,8,9,1748.809847893757,150898.27990697202,8000,1110.721078865162,642.987623864243,153849.29627241738,46150.703727582615,103297.06033446008,67146.35660687837,2e5,0,-0,2e5,510,47430,833.3333333333334,77500,510,47430,1e4
